SORU_ID,SORU,DOĞRU CEVAP,AKADEMİK SEVİYE,SORU TÜRÜ,KRİTİK ANAHTAR,KAVRAMLAR
guz_ara_sinav_2024_cikmis_sorular_15,"Çalışanın verimliliğinin belirleyici unsur olduğu ve ortalama bir verimin üzerinde çalışılması durumunda, çalışılan süre, gerçekleştirilen üretim fazlasına bağlı olarak asıl ücrete ek olarak prim ödemeleri yapılmasını esas alan ücret sistemi aşağıdakilerden hangisidir?",E,-,-,-,-
guz_ara_sinav_2024_cikmis_sorular_16,"ILO’ya göre, insan onuruna yakışır çalışma koşullarında, iş sağlığı ve güvenliği koşullarına uygun, sosyal güvenlik imkânlarına sahip, sendika aracılığı ile temsil gücü olan, zorla çalıştırma ve çocuk işçiliğinin olmadığı, yaptığı iş karşılığında hak ettiği ücreti alabilen ve kısacası çalışmaya ilişkin temel hak ve ilkelerin üç taraflı uzlaşma ile gerçekleştirilebildiği işlere ne ad verilir?",B,-,-,-,-
guz_ara_sinav_2024_cikmis_sorular_17,Ne zaman ortaya çıkacağı bilinmemekle birlikte ileride gerçekleşmesi muhtemel ya da muhakkak olan ve buna maruz kalan kişinin mal varlığında eksilmeye neden olan tehlikeye ne ad verilir?,A,-,-,-,-
guz_ara_sinav_2024_cikmis_sorular_18,Sendikal örgütlenmenin önündeki engellerin kaldırılması ile özellikle bireysel olarak pazarlık gücüne sahip olamayan düşük nitelikli emeğin güçlendirilmesi ve toplu pazarlık yoluyla ücretinin artırılması gelir dağılımı politikası araçlarından hangisine bir örnektir?,D,-,-,-,-
guz_ara_sinav_2024_cikmis_sorular_19,"Uygulamada hükümetlerin, işverenlere vergi indirimleri, prim katkısı ya da benzer destekler sağladığı aktif istihdam politikası aşağıdakilerden hangisidir? Girişimciliğin Desteklenmesine Yönelik Programlar",A,-,-,-,-
guz_ara_sinav_2024_cikmis_sorular_20,Alınması gereken günlük kalori miktarı ya da yapılan tüketim harcamaları gibi tespit edilebilir ve doğruluğu kanıtlanabilir bir standardın ya da standartlar setinin altında kalma durumunda ortaya çıkan yoksulluk türü aşağıdakilerden hangisidir?,E,-,-,-,-
guz_ara_sinav_2024_cikmis_sorular_21,"Aşağıdakilerden hangisi, Birleşmiş Milletler'in insani yoksulluğun ölçülmesinde yararlandığı kriterlerden biri değildir?",Bilinmiyor,-,-,-,-
yaz_okulu_2025_cikmis_sorular_2,"Toplumsal düzenin köklü biçimde, gerekirse devrim yoluyla değiştirilmesini, üretim araçları üzerindeki özel mülkiyet hakkının devlete geçmesini ve proleterlerin egemen olduğu bir devlet düzenini hedefleyen düşünce sistemi aşağıdakilerden hangisidir?",D,-,-,-,-
yaz_okulu_2025_cikmis_sorular_3,Sosyal politikanın uluslararası araçlarından en önemlisi aşağıdakilerden hangisidir?,D,-,-,-,-
yaz_okulu_2025_cikmis_sorular_4,Aşağıdakilerden hangisi kişi bakımından sosyal politikanın kapsamında değildir?,E,-,-,-,-
yaz_okulu_2025_cikmis_sorular_5,Piyasa mekanizması ve fiyatlar sistemini her türlü ekonomik ve sosyal sorunu kendiliğinden çözümleyen “gizli bir el” işlevi olarak gören düşünce yapısı aşağıdakilerden hangisidir?,A,-,-,-,-
yaz_okulu_2025_cikmis_sorular_6,Asgari geçim düşüncesine dayanan ve kişilerin ya da hane halklarının asgari geçim düzeyinin altında olma durumunu ifade eden yoksulluk türü aşağıdakilerden hangisidir?,B,-,-,-,-
yaz_okulu_2025_cikmis_sorular_7,Kişisel gelir dağılımı eşitsizliğinin ölçülmesi için kullanılan eğriye ne ad verilir?,E,-,-,-,-
yaz_okulu_2025_cikmis_sorular_8,1802 yılında İngiltere’de dokuma sanayiinde kabul edilen kanun çalışan çocukları öncelikle hangi alanda korumaya çalışmıştır?,B,-,-,-,-
yaz_okulu_2025_cikmis_sorular_10,Aile ödenekleri sigortasından sağlanan temel yardım aşağıdakilerden hangisidir?,C,-,-,-,-
yaz_okulu_2025_cikmis_sorular_11,Bir arada yaşama kültürünün bir ürünü olarak aidiyet duygusu üzerinden kırsal kesimde ve kentlerin gecekondu bölgelerinde komşuluk ve akrabalığa bağlı olarak uygulanan geleneksel sosyal güvenlik yöntemi aşağıdakilerden hangisidir?,C,-,-,-,-
yaz_okulu_2025_cikmis_sorular_12,Türkiye'de analık sigortasından geçici iş göremezlik ödeneği verilme süresi kural olarak toplam kaç haftadır?,C,-,-,-,-
yaz_okulu_2025_cikmis_sorular_13,"Güney Afrika’da hükümet tarafından 1990’ların ortalarına kadar zencilere karşı uygulanan ayrımcılık, ortaya çıkış biçimine göre ayrımcılık türlerinden hangisine örnektir?",A,-,-,-,-
yaz_okulu_2025_cikmis_sorular_14,"Toplumsal yaşamda dil, din, ırk, etnik köken, cinsiyet, cinsel yönelim, engellilik ve yaş gibi nesnel olmayan faktörler temel alınarak birey veya gruplara yöneltilen farklı davranış ve uygulamalara ne ad verilir",A,-,-,-,-
yaz_okulu_2025_cikmis_sorular_15,Sosyal dışlanma sorununa ilk defa açık bir biçimde yer veren uluslararası anlaşma aşağıdakilerden hangisidir?,D,-,-,-,-
yaz_okulu_2025_cikmis_sorular_16,21. yüzyılın ilk on yılında dünya nüfusunun yalnızca yüzde ------- yeterli sosyal güvenlik garantisine sahiptir. Yukarıdaki cümlede boş bırakılan yeri aşağıdakilerden hangisi doğru olarak tamamlar?,D,-,-,-,-
yaz_okulu_2025_cikmis_sorular_17,"4857 sayılı İş Kanununa göre, 400 işçinin çalıştığı kamuya ait bir işyerinde en az kaç eski hükümlü çalıştırma zorunluluğu bulunmaktadır?",A,-,-,-,-
yaz_okulu_2025_cikmis_sorular_18,"Küreselleşmeyi, nimetleri ve külfetleri; fırsatları ve tehditleri ve nihayet olumlu ve olumsuz sonuçları ile birlikte değerlendirerek kaçınılmaz teslim olunması gereken bir süreç olarak değil, ortaya çıkaracağı olumsuz sonuçların giderilebilmesi için müdahale edilmesi gereken bir süreç olarak gören küreselleşme yaklaşımı aşağıdakilerden hangisidir?",B,-,-,-,-
yaz_okulu_2025_cikmis_sorular_19,Çocukların korunmasına yönelik sosyal politikalar kapsamında genel kural olarak kaç yaşını doldurmamış çocukların çalıştırılmaları yasaktır?,C,-,-,-,-
yaz_okulu_2025_cikmis_sorular_20,“Herkes İçin Fırsatlar Yaratan Adil Bir Küreselleşme Raporu” hangi kuruluş tarafından hazırlanmıştır?,B,-,-,-,-
yaz_okulu_2025_cikmis_sorular_21,Türkiye’de engelli çalıştırılma zorunluluğu ilk olarak hangi kanunla getirilmiştir?,Bilinmiyor,-,-,-,-
guz_ara_sinav_2023_cikmis_sorular_2,"""İşgücü piyasasından nitelikli işçi sağlanması, istihdam şartlarının işletmenin yararına olarak nasıl geliştirilebileceğini ve işletmedeki personelin nasıl motive edileceği"" sosyal politika ile ilişkili sosyal bilim dallarından hangisinin bir amacıdır?",E,-,-,-,-
guz_ara_sinav_2023_cikmis_sorular_3,Aşağıdakilerden hangisi ILO'nun temel sözleşmelerinden biri değildir?  A)98 sayılı Örgütlenme ve Toplu Sözleşme Hakkı Sözleşmesi,A,-,-,-,-
guz_ara_sinav_2023_cikmis_sorular_4,"Liberalizmin ekonomik ve sosyal etkilerine karşı olarak ortaya çıkan ve liberal düşüncenin temelinde yer alan bireyciliğe karşı, toplumun bireye üstünlüğü düşüncesini geliştiren iktisadi düşünce aşağıdakilerden hangisidir?",D,-,-,-,-
guz_ara_sinav_2023_cikmis_sorular_5,"Toplumun bağımlı çalışan, ekonomik yönden güçsüz ve özel olarak bakım, gözetim, yardım, desteklenme gereksinimi duyan kesimlerinin ve grupların karşılaştıkları ya da karşılaşabilecekleri risklere, olumsuzluklara karşı en geniş biçimde korunmalarına yönelik kamusal politikaları konu alan sosyal bilim dalına ne ad verilir?",C,-,-,-,-
guz_ara_sinav_2023_cikmis_sorular_6,"Sanayi Devrimi ile birlikte ortaya çıkan ağır çalışma koşulları, işsizlik, kadın ve çocukların sanayide acımasızca kullanılmaları, aile birliği ve düzeninin bozulması, fabrikalarda yaşanan çatışmalar öncelikle aşağıdaki ülkelerin hangisinde görülmüştür?",A,-,-,-,-
guz_ara_sinav_2023_cikmis_sorular_7,"İngiltere'de, sosyal politikanın uluslararası boyut kazanmasına yönelik ilk adımlar aşağıdakilerin hangisi tarafından atılmıştır?",B,-,-,-,-
guz_ara_sinav_2023_cikmis_sorular_8,Aşağıdakilerden hangisi sosyal politikanın kollektif kendi kendine yardım araçlarından biri değildir?,B,-,-,-,-
guz_ara_sinav_2023_cikmis_sorular_9,"İngiltere’de 1802 yılında, çalışma ilişkilerinin düzenlenmesine ilişkin basit bir uygulama ile başlayan müdahale anlayışı ilk olarak hangi çalışan grubuna yönelik ortaya çıkmıştır?",C,-,-,-,-
guz_ara_sinav_2023_cikmis_sorular_10,"Türkiye’de sosyal politika eğitimine ilişkin ilk çalışmaları gerçekleştiren, sosyal politikanın çeşitli konuları hakkında çok sayıda eser veren ve bu alanda birçok bilim insanının yetişmesine katkı sağlayan Türk sendikacılık hareketlerinin gelişmesi ve 1945 yılından itibaren Çalışma Bakanlığı başta olmak üzere birçok kurumun oluşumunda önemli katkıları olan bilim adamı aşağıdakilerden hangisidir?",C,-,-,-,-
guz_ara_sinav_2023_cikmis_sorular_11,İktisadi faaliyetin emek unsurunun tutsaklar ve köleler tarafından yerine getirildiği toplum düzenine ne ad verilir?,E,-,-,-,-
guz_ara_sinav_2023_cikmis_sorular_12,Yoksulluğun ölçülmesinde yaygın olarak kullanılan ve yoksulluk çizgisi altındaki kişilerin toplam nüfusa oranını gösteren yöntem aşağıdakilerden hangisidir?,A,-,-,-,-
guz_ara_sinav_2023_cikmis_sorular_13,Ne zaman ortaya çıkacağı bilinmemekle birlikte ileride gerçekleşmesi muhtemel ya da muhakkak olan ve buna maruz kalan kişinin mal varlığında eksilmeye neden olan tehlikeye ne ad verilir?,E,-,-,-,-
guz_ara_sinav_2023_cikmis_sorular_14,"Ücretlendirme sırasında sadece yapılacak iş göz önünde bulundurulmadan, teknik ve ekonomik bir rasyonellikten uzak, insancıl değerleri dikkate alarak belirlenen ücret aşağıdakilerden hangisidir?",A,-,-,-,-
guz_ara_sinav_2023_cikmis_sorular_15,"Gelirin ücret, faiz, rant ve kâr arasında nasıl dağıldığını gösteren gelir dağılımı türü aşağıdakilerden hangisidir?",B,-,-,-,-
guz_ara_sinav_2023_cikmis_sorular_16,"İşçilere normal bir çalışma günü karşılığı ödenen ve işçinin gıda, konut, giyim, sağlık, ulaşım ve kültür gibi zorunlu ihtiyaçlarını günün fiyatları üzerinden en az düzeyde karşılamaya yetecek ücrete ne ad verilir?",B,-,-,-,-
guz_ara_sinav_2023_cikmis_sorular_17,Asgari geçim düşüncesine dayanan ve kişilerin ya da hane halklarının asgari geçim düzeyinin altında olma durumunu ifade eden yoksulluk türü aşağıdakilerden hangisidir?,D,-,-,-,-
guz_ara_sinav_2023_cikmis_sorular_18,Aşağıdakilerden hangisi pasif istihdam politikalarından biridir?,D,-,-,-,-
guz_ara_sinav_2023_cikmis_sorular_19,Bütün gelirlerle ilgili gelişmelere bu gelirlerin doğuşu esnasında doğrudan etki etmeyi amaçlayan hükümet politikalarına ne ad verilir?,D,-,-,-,-
yaz_okulu_2024_cikmis_sorular_2,"Mülkiyet ve egemenliğin birbirine katıldığı, siyasal iktidar ile ekonomik iktidarın aynı kişide birleştiği ve dönemin üretim yapısı kadar yönetim yapısını da ifade eden kavram aşağıdakilerden hangisidir?",D,-,-,-,-
yaz_okulu_2024_cikmis_sorular_3,"Liberalizmin ekonomik ve sosyal etkilerine karşı olarak ortaya çıkan ve liberal düşüncenin temelinde yer alan bireyciliğe karşı, toplumun bireye üstünlüğü düşüncesini geliştiren iktisadi düşünce aşağıdakilerden hangisidir?",D,-,-,-,-
yaz_okulu_2024_cikmis_sorular_4,Sosyal politikanın uluslararası araçlarından en önemlisi aşağıdakilerden hangisidir?,A,-,-,-,-
yaz_okulu_2024_cikmis_sorular_5,Aşağıdakilerden hangisi sosyal politikanın kollektif kendi kendine yardım araçlarından biri değildir?,B,-,-,-,-
yaz_okulu_2024_cikmis_sorular_6,"Çalışan ücretlerinin standart para yerine, mal veya para yerine geçen kâğıt kuponlar şeklinde ödendiği sisteme ne ad verilir?",B,-,-,-,-
yaz_okulu_2024_cikmis_sorular_7,1802 yılında İngiltere’de dokuma sanayiinde kabul edilen kanun çalışan çocukları hangi alanda korumaya çalışmıştır?,C,-,-,-,-
yaz_okulu_2024_cikmis_sorular_8,"Aşağıdakilerden hangisi, gelir dağılımı politikası araçlarından biri değildir?",C,-,-,-,-
yaz_okulu_2024_cikmis_sorular_9,"Yoksulluğu sadece mutlak anlamda bir yaşamı sürdürme meselesi olarak görmeyen, kişi ya da hane halkının sahip olduğu gelir düzeyinin, içinde yaşanılan toplumdaki ortalama gelir düzeyinin gerisinde kalma durumu olarak ifade edilen kavrama ------- denir. Yukarıdaki cümlede boş bırakılan yeri aşağıdakilerden hangisi doğru şekilde tamamlar?",C,-,-,-,-
yaz_okulu_2024_cikmis_sorular_10,"Aşağıdakilerden hangisi nedenlerine göre ayrımcılık türlerinden biri değildir? Etnik köken, din ve siyasal görüşe dayalı ayrımcılık",B,-,-,-,-
yaz_okulu_2024_cikmis_sorular_11,"""Sosyal güvenlik"" terim olarak ilk kez aşağıdaki düzenlemelerin hangisinde kullanılmıştır?",E,-,-,-,-
yaz_okulu_2024_cikmis_sorular_12,Sosyal dışlanma sorununa ilk defa açık bir biçimde yer veren uluslararası anlaşma aşağıdakilerden hangisidir?,E,-,-,-,-
yaz_okulu_2024_cikmis_sorular_13,"Toplumsal yaşamda dil, din, ırk, etnik köken, cinsiyet, cinsel yönelim, engellilik ve yaş gibi nesnel olmayan faktörler temel alınarak birey veya gruplara yöneltilen farklı davranış ve uygulamalara ne ad verilir?",C,-,-,-,-
yaz_okulu_2024_cikmis_sorular_14,Bir konfederasyon olan Almanya'nın birleşerek imparatorluğa dönüşmesinde ve devletçi sosyal politikaların kapsamlı bir biçimde uygulanmasında en önemli rolü oynayan ilk şansölyesi kimdir?,A,-,-,-,-
yaz_okulu_2024_cikmis_sorular_15,"Aşağıdakilerden hangisi, sosyal sigortaların öncelikli olarak kapsama alacağı nüfus kesimi belirlenirken göz önünde bulundurulan faktörlerden biri değildir?",E,-,-,-,-
yaz_okulu_2024_cikmis_sorular_16,“Herkes İçin Fırsatlar Yaratan Adil Bir Küreselleşme Raporu” hangi kuruluş tarafından hazırlanmıştır?,D,-,-,-,-
yaz_okulu_2024_cikmis_sorular_17,Kadınlar tarihin her döneminde çalışma yaşamında sürekli olarak yer almıştır. Bununla beraber ücretli işçi olarak çalışma yaşamına girmeleri ilk kez ------- ile olmuştur. Yukarıdaki cümlede boş bırakılan yeri aşağıdakilerden hangisi doğru olarak tamamlar?,A,-,-,-,-
yaz_okulu_2024_cikmis_sorular_19,"Küreselleşmeyi, mal ve hizmet piyasaları ile birlikte mali piyasaların da bütünleştiği, ulusal ekonomilerin birbirlerine bağımlılıklarının arttığı çok yönlü bir ekonomik bütünleşme süreci olarak tanımlayan uluslararası kuruluş aşağıdakilerden hangisidir?",D,-,-,-,-
yaz_okulu_2024_cikmis_sorular_20,İşverenlerin engelli istihdamını sağlamak amacıyla bazı iş ve mesleklerin tamamen veya kısmen engelliler için ayrılması yöntemine ne ad verilir?,E,-,-,-,-
yaz_okulu_2024_cikmis_sorular_21,"Küreselleşmeyi, geleneksel kavramlarla açıklanamayan “yeni bir çağın adı” olarak ifade eden yaklaşım aşağıdakilerden hangisidir?",Bilinmiyor,-,-,-,-
yaz_okulu_2023_cikmis_sorular_2,"Toplumun bağımlı çalışan, ekonomik yönden güçsüz ve özel olarak bakım, gözetim, yardım, desteklenme gereksinimi duyan kesimlerinin ve grupların karşılaştıkları ya da karşılaşabilecekleri risklere, olumsuzluklara karşı en geniş biçimde korunmalarına yönelik kamusal politikaları konu alan sosyal bilim dalına ne ad verilir?",A,-,-,-,-
yaz_okulu_2023_cikmis_sorular_3,"Feodal Dönem Batı Avrupa’sında işledikleri toprak ve üretim araçları üzerinde sadece kullanım hakkına sahip olan, çalışmaları karşılığında elde ettikleri tarımsal ürünün bir bölümünü kendi ihtiyaçlarına yönelik tüketirken, büyük bir bölümünü ise güvenlik gereksinimlerini sağlayan kişilere aktaran toplumsal gruba ne ad verilir?",D,-,-,-,-
yaz_okulu_2023_cikmis_sorular_4,"İşçilerin barınma yerlerinin temini, çalışma süreleri, dinlenme sürelerinin çalışma süreleri dışında tutulması, Hristiyan işçilerin kendi dinî günlerinde izin verilmesi gibi uygulamalar aşağıdaki düzenlemelerden hangisi ile gerçekleştirilmiştir?",C,-,-,-,-
yaz_okulu_2023_cikmis_sorular_5,Milletler Cemiyeti’nin dağılmasından sonra 1944 yılında ILO’nun amaçlarının yeniden belirlendiği düzenleme aşağıdakilerden hangisidir?,E,-,-,-,-
yaz_okulu_2023_cikmis_sorular_6,"Geçici, konjonktürel ve yapısal faktörler nedeniyle bir işgücü piyasasında yüzde yüz istihdamın sağlanamaması ve işgücünün küçük bir bölümünün işsiz olması durumuna ne ad verilir?",C,-,-,-,-
yaz_okulu_2023_cikmis_sorular_7,Alınması gereken günlük kalori miktarı ya da yapılan tüketim harcamaları gibi tespit edilebilir ve doğruluğu kanıtlanabilir bir standardın ya da standartlar setinin aşağısında kalma durumuna ------- denir. Yukarıdaki cümlede boş bırakılan yeri aşağıdakilerden hangisi doğru şekilde tamamlar?,D,-,-,-,-
yaz_okulu_2023_cikmis_sorular_8,Kişisel gelir dağılımı eşitsizliğinin ölçülmesi için kullanılan eğriye ne ad verilir?,B,-,-,-,-
yaz_okulu_2023_cikmis_sorular_9,Aşağıdakilerden hangisi Sanayi Devriminin yol açtığı sonuçlardan biri değildir?,D,-,-,-,-
yaz_okulu_2023_cikmis_sorular_10,Aşağıdakilerden hangisi sosyal sigortaların öncelikle kapsama alacağı nüfus kesimi ve çalışan grubunu belirlerken göz önünde bulundurduğu faktörlerden biri değildir?,C,-,-,-,-
yaz_okulu_2023_cikmis_sorular_11,Aşağıdakilerden hangisi sosyal dışlanma riski yüksek olan kişi ve gruplardan biri değildir?,B,-,-,-,-
yaz_okulu_2023_cikmis_sorular_12,Sosyal dışlanma sorununa ilk defa açık bir biçimde yer veren uluslararası anlaşma aşağıdakilerden hangisidir?,D,-,-,-,-
yaz_okulu_2023_cikmis_sorular_13,"ILO'nun Sosyal Güvenliğin Asgari Normlarına İlişkin 102 sayılı Sözleşmesi’nde, bir ülkede sosyal güvenlik sisteminin varlığından bahsedebilmek için oluşturulan sosyal güvenlik sisteminin, bağımlı çalışanların yani işçilerin en az yüzde kaçını kapsamına alması gerekmektedir?",A,-,-,-,-
yaz_okulu_2023_cikmis_sorular_14,Bir konfederasyon olan Almanya'nın birleşerek imparatorluğa dönüşmesinde ve devletçi sosyal politikaların kapsamlı bir biçimde uygulanmasında en önemli rolü oynayan ilk şansölyesi kimdir?,E,-,-,-,-
yaz_okulu_2023_cikmis_sorular_15,I. Ekonomik II. Kültürel III. Siyasi IV. Mekânsal Yukarıdakilerden hangisi/hangileri sosyal dışlanma biçimlerindendir?,A,-,-,-,-
yaz_okulu_2023_cikmis_sorular_16,"------- göre; küreselleşme, insanlık tarihinin kaçınılmaz olarak yaşanacak bir safhasıdır. Dünya çapında ekonomilerin ve toplumların bütünleşme sürecini ifade eder. Küreselleşme yalnızca bir mal ve hizmet ticareti artışı değildir. Haberleşme teknolojisi ve bilgi paylaşımı ile bilgi, enformasyon ve kültürün de bütünleşmesi sürecidir. Yukarıdaki cümlede boş bırakılan yeri aşağıdakilerden hangisi doğru olarak tamamlar?",B,-,-,-,-
yaz_okulu_2023_cikmis_sorular_17,"Uluslararası alanda, çocukların çalıştırılma yaşı, çalışma süreleri ve iş sağlığı ve güvenliğine ilişkin konularda temenni niteliğinde kararların alındığı ilk toplantı aşağıdakilerden hangisidir?",E,-,-,-,-
yaz_okulu_2023_cikmis_sorular_18,"Kadın işgücünü korumak amacıyla, metalürji, araba, kimya gibi ağır sanayilerdeki gelişmelere bağlı olarak kadın işgücü kullanımının geçici bir süre sınırlandığı dönem aşağıdakilerden hangisidir?",E,-,-,-,-
yaz_okulu_2023_cikmis_sorular_19,Aşağıdakilerden hangisi küreselleşmenin göstergelerinden biri değildir?,B,-,-,-,-
yaz_okulu_2023_cikmis_sorular_20,"Küreselleşmeyi, geleneksel kavramlarla açıklanamayan “yeni bir çağın” olarak adlandıran yaklaşım aşağıdakilerden hangisidir?",C,-,-,-,-
yaz_okulu_2023_cikmis_sorular_21,ILO'nun 138 sayılı İstihdama Kabulde Asgari Yaş Sözleşmesi’ne göre en az çalıştırılma yaşı kaçtır?,Bilinmiyor,-,-,-,-
guz_ara_sinav_2022_cikmis_sorular_2,"1936 yılında yazdığı “İstihdam, Faiz ve Paranın Genel Teorisi” adlı eserinde, klasik iktisat anlayışına önemli eleştiriler getirerek liberal çizgiden ödünler vermiş olan iktisatçı kimdir?",A,Bilgi / Analiz,Kurum-Görev eşleştirmesi,"1936 yılına dair 'İstihdam, Faiz ve Paranın Genel Teorisi' ifadesi","Keynes, Friedman, Mill, Hayek"
guz_ara_sinav_2022_cikmis_sorular_3,"Türkiye’de sosyal politika eğitimine ilişkin ilk çalışmaları gerçekleştiren, sosyal politikanın çeşitli konuları hakkında çok sayıda eser veren ve bu alanda birçok bilim insanının yetişmesine katkı sağlayan Türk sendikacılık hareketlerinin gelişmesi ve 1945 yılından itibaren Çalışma Bakanlığı başta olmak üzere birçok kurumun oluşumunda önemli katkıları olan bilim adamı aşağıdakilerden hangisidir?",D,Bilgi / Analiz,Kişisel-Görev eşleştirmesi,"Sosyal politika, sendikacılık, Çalışma Bakanlığı","Sosyal politika, Sendikacılık, Çalışma Bakanlığı"
guz_ara_sinav_2022_cikmis_sorular_4,Türk endüstri ilişkileri sisteminin demokratik kurallar çerçevesinde oluşumuna katkılar sağlayan “sosyal devlet” düşüncesi ilk kez hangi Anayasa ile Türk Anayasa sistemine girmiştir?,C,Bilgi / Analiz,Kurum-Görev eşleştirmesi,sosyal devlet,"Sosyal Devlet, 1921 Anayasası"
guz_ara_sinav_2022_cikmis_sorular_5,I. Sanayi Devrimi II. Fransız İhtilali III. Büyük Buhran Yukarıdakilerden hangileri sosyal politikanın ortaya çıkmasına neden olan koşulları hazırlayan tarihsel olaylardır?,D,Bilgi / Analiz,Tarihsel olay-eşleştirmesi,Sosyal politikanın ortaya çıkması,"Sanayi Devrimi, Fransız İhtilali, Büyük Buhran, Sosyal Sigorta"
guz_ara_sinav_2022_cikmis_sorular_6,"Çalışanın, işin yapılması ve yürütülmesi, yöntemi ve koşulları bakımından işverene bağlı olmasına ne ad verilir?",E,Bilgi / Analiz,Kurum-Görev eşleştirmesi,İşverene bağlı,"Bismarck, Beveridge, Sosyal Bağımlılık"
guz_ara_sinav_2022_cikmis_sorular_7,Aşağıdakilerden hangisi sosyal politikanın kolektif kendi kendine yardım araçlarından biri değildir?,B,Bilgi / Analiz,Çözümleme,Sosyal politika kendi kendine yardım araçları,"Sosyal politika, Kendi kendine yardım araçları"
guz_ara_sinav_2022_cikmis_sorular_8,"Sosyal sorunların üretilmesini engelleyici bir unsur olarak toplumu oluşturan unsurları ayrıştırmak yerine birleştirmek, sosyal politikanın hangi hedefini ifade eder?",D,Bilgi / Analiz,Kurum-Görev eşleştirmesi,Sosyal sorunların üretilmesini engelleyici bir unsur olarak toplumu oluşturan unsurları ayrıştırmak yerine birleştirmek,"Sosyal Sigorta, Bismarck, Beveridge"
